1000,Already Sorted,2879864,235426,314849
1000,Shuffled,891744,106599,109974
1000,Reversed,726662,113565,124037
2000,Already Sorted,4171235,432873,861806
2000,Shuffled,2075435,396603,313643
2000,Reversed,3067423,334294,217593
3000,Already Sorted,3280188,569580,641611
3000,Shuffled,2117434,436250,506347
3000,Reversed,1805899,344730,308778
4000,Already Sorted,5224303,1295219,1204571
4000,Shuffled,4368207,481291,476230
4000,Reversed,3780763,933017,747619
5000,Already Sorted,5729452,822882,931639
5000,Shuffled,3944342,608370,579874
5000,Reversed,5871482,865069,1086882
6000,Already Sorted,5715692,861606,1004506
6000,Shuffled,4250250,696737,627042
6000,Reversed,3634237,719177,1432853
7000,Already Sorted,9465983,1405822,1574555
7000,Shuffled,5581598,2400399,1529517
7000,Reversed,3700476,772137,879862
8000,Already Sorted,10169093,2350233,1794918
8000,Shuffled,8543689,1425044,1392303
8000,Reversed,4022437,1875406,3202493
9000,Already Sorted,11218743,1819649,2253790
9000,Shuffled,6812505,1181810,1255919
9000,Reversed,7909972,2196083,3342551
10000,Already Sorted,11098590,2188753,1854011
10000,Shuffled,7474133,1806947,1323225
10000,Reversed,5313417,3049729,2710026
